epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.2486,2.91999,7.44696,2.01555,0,0,0,0,2.70163,7.64944,2.23883,3.334e-05,3.334e-05,3.334e-05
2,43.3331,2.63117,7.77659,1.86257,0,0,0,0,3.16509,8.51881,2.20671,8.25248e-05,8.25248e-05,8.25248e-05
3,62.853,2.26152,6.46581,1.55501,0,0,0,0,2.58242,7.24134,1.95294,0.000130719,0.000130719,0.000130719
4,83.5974,2.27162,5.30509,1.4559,0.00164,0.375,0.00148,0.0003,2.73625,6.08676,1.93451,0.000177924,0.000177924,0.000177924
5,104.009,2.06283,4.98321,1.33058,0.0024,0.70833,0.00223,0.00052,2.29817,5.75306,1.64494,0.000224138,0.000224138,0.000224138
6,123.819,2.07766,4.3556,1.28749,0.00093,0.25,0.00072,0.00029,1.91102,5.89135,1.50635,0.000269362,0.000269362,0.000269362
7,144.131,2.15994,4.18562,1.29926,0.00046,0.125,0.00029,0.00018,2.09458,5.66099,1.52992,0.000313596,0.000313596,0.000313596
8,163.909,1.99847,3.61481,1.35839,0.00093,0.25,0.0007,0.00023,2.16796,5.56658,1.5892,0.00035684,0.00035684,0.00035684
9,185.039,2.1329,3.18084,1.42605,0.00143,0.41667,0.00104,0.00033,2.10196,5.57368,1.59072,0.000399093,0.000399093,0.000399093
10,204.901,1.94838,3.19889,1.36579,0.00095,0.25,0.00072,0.00017,1.96091,5.53487,1.48016,0.000440356,0.000440356,0.000440356
11,225.153,1.93817,3.11543,1.24676,0.00143,0.375,0.00126,0.00042,1.80257,5.28674,1.36887,0.000480629,0.000480629,0.000480629
