epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.1941,2.91999,7.44696,2.01555,0,0,0,0,2.70163,7.64944,2.23883,3.334e-05,3.334e-05,3.334e-05
2,39.7695,2.63612,7.7839,1.87201,0,0,0,0,3.18915,8.82515,2.22157,7.78489e-05,7.78489e-05,7.78489e-05
3,60.0458,2.30387,6.53904,1.56451,0,0,0,0,2.83201,7.52937,2.08165,0.000115756,0.000115756,0.000115756
4,79.5869,2.29899,5.38774,1.44325,0.0015,0.41667,0.00113,0.00021,2.51227,6.0721,1.73589,0.000147063,0.000147063,0.000147063
5,100.652,1.93866,5.00634,1.31381,0.00241,0.70833,0.00226,0.00058,2.08168,5.71954,1.59498,0.000171768,0.000171768,0.000171768
6,120.584,2.08827,4.80565,1.37602,0.00286,0.875,0.0029,0.00061,2.1128,6.09752,1.57608,0.000189871,0.000189871,0.000189871
7,138.652,1.9949,4.17126,1.32833,0.00143,0.41667,0.00105,0.00035,2.29057,5.51936,1.66972,0.000201374,0.000201374,0.000201374
8,156.642,1.97108,3.94278,1.35007,0.00142,0.41667,0.00104,0.00038,2.22899,5.4072,1.63325,0.000206275,0.000206275,0.000206275
9,174.727,1.9403,4.05052,1.26779,0.00093,0.25,0.0007,0.00022,2.04978,5.2982,1.49145,0.000204574,0.000204574,0.000204574
10,193.234,1.81354,3.58561,1.25392,0.00092,0.25,0.0007,0.00019,2.04442,5.27533,1.47243,0.000196273,0.000196273,0.000196273
11,212.6,1.87333,3.70607,1.23226,0.00092,0.25,0.00069,0.0001,2.0512,5.46347,1.43243,0.00018137,0.00018137,0.00018137
12,4692.45,1.76816,3.40483,1.17567,0.00092,0.25,0.00069,0.0001,2.07685,5.66468,1.43775,0.000159865,0.000159865,0.000159865
13,4710.26,1.7872,3.40166,1.21293,0.00047,0.125,0.00029,9e-05,2.21526,5.41111,1.41491,0.00013176,0.00013176,0.00013176
14,4728.09,1.67767,3.1263,1.21737,0.00046,0.125,0.00029,9e-05,2.26473,5.19817,1.42304,9.70527e-05,9.70527e-05,9.70527e-05
15,4746.07,1.77432,3.18317,1.20731,0.00046,0.125,0.00122,0.00037,2.2443,5.15054,1.42343,5.57445e-05,5.57445e-05,5.57445e-05
